metric,candidate,scenario,fire_rate
severe_flood_threshold,300000000,01_no_policy,0.97
severe_flood_threshold,300000000,06_balanced,0.72
severe_flood_threshold,300000000,02_hard_infra,0.59
severe_flood_threshold,300000000,09_flood_neglect,0.96
severe_flood_threshold,300000000,03_nature_based,0.93
severe_flood_threshold,300000000,04_agri_rnd,0.96
severe_flood_threshold,330000000,01_no_policy,0.82
severe_flood_threshold,330000000,06_balanced,0.54
severe_flood_threshold,330000000,02_hard_infra,0.28
severe_flood_threshold,330000000,09_flood_neglect,0.82
severe_flood_threshold,330000000,03_nature_based,0.76
severe_flood_threshold,330000000,04_agri_rnd,0.82
severe_flood_threshold,350000000,01_no_policy,0.75
severe_flood_threshold,350000000,06_balanced,0.37
severe_flood_threshold,350000000,02_hard_infra,0.18
severe_flood_threshold,350000000,09_flood_neglect,0.75
severe_flood_threshold,350000000,03_nature_based,0.75
severe_flood_threshold,350000000,04_agri_rnd,0.75
severe_flood_threshold,400000000,01_no_policy,0.56
severe_flood_threshold,400000000,06_balanced,0.17
severe_flood_threshold,400000000,02_hard_infra,0.0
severe_flood_threshold,400000000,09_flood_neglect,0.47
severe_flood_threshold,400000000,03_nature_based,0.46
severe_flood_threshold,400000000,04_agri_rnd,0.47
resident_capacity_low_threshold_current_logic,0.05,01_no_policy,0.43
resident_capacity_low_threshold_current_logic,0.05,06_balanced,0.0
resident_capacity_low_threshold_current_logic,0.05,05_relocation_capacity,0.0
resident_capacity_low_threshold_current_logic,0.05,07_late_response,0.0
resident_capacity_low_threshold_current_logic,0.1,01_no_policy,0.43
resident_capacity_low_threshold_current_logic,0.1,06_balanced,0.0
resident_capacity_low_threshold_current_logic,0.1,05_relocation_capacity,0.0
resident_capacity_low_threshold_current_logic,0.1,07_late_response,0.0
resident_capacity_low_threshold_current_logic,0.15,01_no_policy,0.43
resident_capacity_low_threshold_current_logic,0.15,06_balanced,0.0
resident_capacity_low_threshold_current_logic,0.15,05_relocation_capacity,0.0
resident_capacity_low_threshold_current_logic,0.15,07_late_response,0.0
resident_capacity_low_threshold_current_logic,0.2,01_no_policy,0.43
resident_capacity_low_threshold_current_logic,0.2,06_balanced,0.0
resident_capacity_low_threshold_current_logic,0.2,05_relocation_capacity,0.0
resident_capacity_low_threshold_current_logic,0.2,07_late_response,0.0
high_risk_houses_threshold_current_logic,8000,01_no_policy,0.28
high_risk_houses_threshold_current_logic,8000,06_balanced,0.17
high_risk_houses_threshold_current_logic,8000,05_relocation_capacity,0.0
high_risk_houses_threshold_current_logic,8000,09_flood_neglect,0.25
high_risk_houses_threshold_current_logic,8500,01_no_policy,0.28
high_risk_houses_threshold_current_logic,8500,06_balanced,0.17
high_risk_houses_threshold_current_logic,8500,05_relocation_capacity,0.0
high_risk_houses_threshold_current_logic,8500,09_flood_neglect,0.25
high_risk_houses_threshold_current_logic,9000,01_no_policy,0.28
high_risk_houses_threshold_current_logic,9000,06_balanced,0.17
high_risk_houses_threshold_current_logic,9000,05_relocation_capacity,0.0
high_risk_houses_threshold_current_logic,9000,09_flood_neglect,0.25
