weight_set,rcpU,rcpD,NE_code,NE_U_payoff,NE_D_payoff,NE_SW
base,1.9,1.9,"U(0, 0)|D(0, 2)",0.17961391395674126,0.21073954363765862,0.3903534575943999
base,1.9,1.9,ERROR: 'Flood Damage',,,
base,1.9,8.5,"U(0, 0)|D(0, 1)",0.18578680155994182,-0.12840158599379636,0.05738521556614545
base,1.9,8.5,ERROR: 'Flood Damage',,,
base,8.5,1.9,"U(2, 0)|D(0, 2)",-0.03899856643670557,0.2514188670033171,0.21242030056661154
base,8.5,1.9,ERROR: 'Flood Damage',,,
base,8.5,8.5,"U(2, 0)|D(0, 2)",-0.03899856643670557,-0.01655023810252021,-0.05554880453922578
base,8.5,8.5,ERROR: 'Flood Damage',,,
alt,1.9,1.9,"U(0, 0)|D(0, 2)",0.4507562641862865,0.4974447087076625,0.948200972893949
alt,1.9,1.9,ERROR: 'Flood Damage',,,
alt,1.9,8.5,"U(0, 0)|D(0, 1)",0.4538427079878868,0.20739762100930542,0.6612403289971922
alt,1.9,8.5,ERROR: 'Flood Damage',,,
alt,8.5,1.9,"U(2, 0)|D(0, 2)",0.3224288982650479,0.5195584157581359,0.8419873140231837
alt,8.5,1.9,ERROR: 'Flood Damage',,,
alt,8.5,8.5,"U(2, 0)|D(0, 2)",0.3224288982650479,0.3025051030633098,0.6249340013283577
alt,8.5,8.5,ERROR: 'Flood Damage',,,
flood,1.9,1.9,"U(0, 1)|D(0, 2)",-0.06748088627976827,0.06309621650722799,-0.004384669772540276
flood,1.9,1.9,ERROR: 'Flood Damage',,,
flood,1.9,8.5,"U(0, 1)|D(0, 1)",-0.07313388334889662,-0.1798101815157243,-0.25294406486462095
flood,1.9,8.5,ERROR: 'Flood Damage',,,
flood,8.5,1.9,"U(0, 2)|D(0, 2)",-0.18681123749993467,0.1840840710746884,-0.002727166425246258
flood,8.5,1.9,ERROR: 'Flood Damage',,,
flood,8.5,8.5,"U(0, 2)|D(0, 1)",-0.13123980513456274,0.0668998432195215,-0.06433996191504124
flood,8.5,8.5,ERROR: 'Flood Damage',,,
alt_base,1.9,1.9,"U(0, 0)|D(0, 2)",0.4507562641862865,0.21073954363765862,0.6614958078239451
alt_base,1.9,1.9,ERROR: 'Flood Damage',,,
alt_base,1.9,8.5,"U(0, 0)|D(0, 1)",0.4538427079878868,-0.12840158599379636,0.3254411219940904
alt_base,1.9,8.5,ERROR: 'Flood Damage',,,
alt_base,8.5,1.9,"U(2, 0)|D(0, 2)",0.3224288982650479,0.2514188670033171,0.573847765268365
alt_base,8.5,1.9,ERROR: 'Flood Damage',,,
alt_base,8.5,8.5,"U(2, 0)|D(0, 2)",0.3224288982650479,-0.01655023810252021,0.3058786601625277
alt_base,8.5,8.5,ERROR: 'Flood Damage',,,
base_alt,1.9,1.9,"U(0, 0)|D(0, 2)",0.17961391395674126,0.4974447087076625,0.6770586226644038
base_alt,1.9,1.9,ERROR: 'Flood Damage',,,
base_alt,1.9,8.5,"U(0, 0)|D(0, 1)",0.18578680155994182,0.20739762100930542,0.39318442256924724
base_alt,1.9,8.5,ERROR: 'Flood Damage',,,
base_alt,8.5,1.9,"U(2, 0)|D(0, 2)",-0.03899856643670557,0.5195584157581359,0.4805598493214303
base_alt,8.5,1.9,ERROR: 'Flood Damage',,,
base_alt,8.5,8.5,"U(2, 0)|D(0, 2)",-0.03899856643670557,0.3025051030633098,0.2635065366266042
base_alt,8.5,8.5,ERROR: 'Flood Damage',,,
alt_flood,1.9,1.9,"U(0, 0)|D(0, 1)",0.4538427079878868,-0.07057918388977127,0.3832635240981155
alt_flood,1.9,1.9,ERROR: 'Flood Damage',,,
alt_flood,1.9,8.5,"U(0, 0)|D(1, 1)",0.464505435969363,-0.4557517169563916,0.008753719012971395
alt_flood,1.9,8.5,ERROR: 'Flood Damage',,,
alt_flood,8.5,1.9,"U(2, 0)|D(0, 2)",0.3224288982650479,-0.016720681751501765,0.3057082165135461
alt_flood,8.5,1.9,ERROR: 'Flood Damage',,,
alt_flood,8.5,8.5,"U(0, 0)|D(1, 1)",0.372235194556517,-0.4557517169563916,-0.08351652239987462
alt_flood,8.5,8.5,ERROR: 'Flood Damage',,,
